,V3 minus Equal Weight,V3 minus Markowitz,V3 minus Original HMM-MPC
2022-01-12,0.2650019876440899,0.525097092372492,0.28416563921296056
2022-01-13,0.25916764479638577,0.5251807812552314,0.27931111147733034
2022-01-14,0.25573111008089944,0.5218682349643209,0.27489589880014575
2022-01-18,0.24262635901595253,0.5107032116560797,0.2680330294439024
2022-01-19,0.23579099533495063,0.4923797101214249,0.2456664896036176
2022-01-20,0.2313797913140343,0.4859538596539936,0.23646323204819097
2022-01-21,0.22559577805582043,0.46415898838345404,0.21093329751732393
2022-01-24,0.2289972699350713,0.4723436531087879,0.22293306092943865
2022-01-25,0.22190333280564412,0.481573576184553,0.2406180861692362
2022-01-26,0.22480784530915265,0.4871397643352582,0.2459995725485098
2022-01-27,0.21335133043378196,0.47582741660857986,0.22875386894354977
2022-01-28,0.22920014334367833,0.4838518161866747,0.23007987989413703
2022-01-31,0.23079630131542306,0.49609328231118033,0.23387377648146446
2022-02-01,0.23812574262931596,0.5249840733260149,0.26893555459341867
2022-02-02,0.23664265816312868,0.5194962248366499,0.2591657468677959
2022-02-03,0.23463131701710394,0.4994486882779454,0.2440363875211995
2022-02-04,0.25964366671241423,0.5317874584737212,0.2815576162090969
2022-02-07,0.2689886639074661,0.5432163525016436,0.294760871002556
2022-02-08,0.2536037700038003,0.525007481640317,0.2772961128389939
2022-02-09,0.2478127091018889,0.5360806099460742,0.28372489028202796
2022-02-10,0.25211577665235163,0.5348470756533468,0.29331773999767696
2022-02-11,0.2714888921929397,0.5606184616730157,0.3192898170332743
2022-02-14,0.2567200272598882,0.5340523527574792,0.29300873481379774
2022-02-15,0.2458137024748841,0.5272220212677499,0.28639737227790096
2022-02-16,0.24637811987814517,0.5323928127085695,0.29206085457167363
2022-02-17,0.24991805151074642,0.517036723841108,0.2755055796493524
2022-02-18,0.24837647746642988,0.511391595476471,0.26980073491211254
2022-02-22,0.24646521620086892,0.5075448158245246,0.26347165894557856
