date,strategy,cost_multiplier,turnover,solver_status,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2019-06-28,ShrinkBlend_HMMMPC,1.5110022873035005,2.490026151432697e-09,optimal,1.4410124457630646e-09,1.6157464641893697e-10,1.6979190950001082e-09,1.3795414274848289e-09,0.03927524517386303,0.03725762231747199,0.5880541142265734,0.028744419592603834,0.30666859400944024
2019-07-05,ShrinkBlend_HMMMPC,1.510963426516143,2.0145419026147003e-09,optimal,8.37014191962444e-10,0.0,1.024319971844255e-09,8.041714984103336e-10,0.03927524517386303,0.03725762433201384,0.5880541142265734,0.028744419592603834,0.30666859400944024
2019-07-12,ShrinkBlend_HMMMPC,1.509859218938217,1.1201135359513842e-09,optimal,4.765958386373354e-10,0.0,6.08902746325627e-10,4.598935281191644e-10,0.03927524517386303,0.037257625452127366,0.5880541142265734,0.028744419592603834,0.30666859400944024
2019-07-19,ShrinkBlend_HMMMPC,1.5112332309755176,6.499023094737003e-10,optimal,2.713317905328911e-10,3.007842479729219e-23,3.6286486874679336e-10,2.612931369684417e-10,0.03927524517386303,0.037257626102029665,0.5880541142265734,0.02874441959260383,0.30666859400944024
2019-07-26,ShrinkBlend_HMMMPC,1.4892555599326076,3.740158597200246e-10,optimal,1.5478341133220917e-10,1.3914578872511428e-22,2.173458746474091e-10,1.4934472363662606e-10,0.039275245173863035,0.03725762647604542,0.5880541142265735,0.028744419592603834,0.3066685940094403
2019-08-02,ShrinkBlend_HMMMPC,1.5128127792155244,5.6757681610080296e-08,optimal,0.0,0.0,0.0,0.0,0.039275290465518864,0.03725760336678155,0.5880541243190377,0.028744420966165404,0.30666856088249655
2019-08-09,ShrinkBlend_HMMMPC,2.948155028766484,1.9081958235744878e-17,optimal,0.0,0.0,0.0,0.0,0.03927529046551885,0.037257603366781536,0.5880541243190377,0.028744420966165394,0.30666856088249655
2019-08-16,ShrinkBlend_HMMMPC,2.9537135505631875,6.938893903907228e-18,optimal,0.0,0.0,0.0,0.0,0.03927529046551885,0.03725760336678153,0.5880541243190377,0.028744420966165387,0.30666856088249655
2019-08-23,ShrinkBlend_HMMMPC,2.954448012015402,1.734723475976807e-18,optimal,0.0,0.0,0.0,0.0,0.03927529046551885,0.03725760336678153,0.5880541243190377,0.028744420966165384,0.30666856088249655
2019-08-30,ShrinkBlend_HMMMPC,2.955197514263685,2.132255183138037e-17,optimal,4.742113522402182e-18,4.114760842247403e-18,4.798469998453539e-18,4.703630635982322e-18,0.03927529046551886,0.037257603366781536,0.5880541243190377,0.028744420966165394,0.30666856088249655
