,net_return,turnover,cost,wealth
2016-09-09,-0.030825422250580825,0.0,0.0,1.6214058945520904
2016-09-12,0.017092899609966627,7.496967871307818e-17,1.4620934538314774e-19,1.6491204227346774
2016-09-13,-0.013271921875899428,0.0,0.0,1.6272334253201926
2016-09-14,0.0008328901951897283,0.0,0.0,1.6285887320854266
2016-09-15,0.008281721018846833,0.0,0.0,1.6420762496189956
2016-09-16,0.002515857731704818,0.0,0.0,1.6462074798476483
2016-09-19,0.00371056457675345,1.0484101631585562e-16,1.552420765736135e-19,1.6523158390083574
2016-09-20,0.000442699122577217,0.0,0.0,1.653047317780507
2016-09-21,0.013595212081543906,0.0,0.0,1.6755208466465603
2016-09-22,0.007209993158125316,0.0,0.0,1.6876013404871784
2016-09-23,-0.0028107597449905652,0.0,0.0,1.6828578985737448
2016-09-26,-0.005825069768539359,4.614400942267221e-19,6.8130533926396295e-22,1.6730551339040152
2016-09-27,-0.0026776757341486768,0.0,0.0,1.6685752347700675
2016-09-28,0.0005150253910302105,0.0,0.0,1.6694345933828183
2016-09-29,-0.01273610516107937,0.0,0.0,1.648172498841951
2016-09-30,0.002316174412501537,0.0,0.0,1.6519899538111575
2016-10-03,-0.008162085114878037,4.2073035734886014e-17,4.275007151914676e-20,1.6385062711992275
2016-10-04,-0.01286708988235341,0.0,0.0,1.6174234637349074
2016-10-05,0.00010303136678091462,0.0,0.0,1.6175901090850395
2016-10-06,4.252529906079161e-05,0.0,0.0,1.617658897588186
2016-10-07,-0.002862658285353703,0.0,0.0,1.613028092942129
2016-10-10,0.0044584155412719095,4.755793765000802e-17,7.048412434144347e-20,1.6202196424602104
2016-10-11,-0.011255074066625403,0.0,0.0,1.6019839503801194
2016-10-12,0.005634176410674208,0.0,0.0,1.6110098105636297
2016-10-13,0.005306169616239531,0.0,0.0,1.6195581018719063
2016-10-14,-0.0030196509196862564,0.0,0.0,1.6146676017601034
2016-10-17,7.577487151411155e-05,2.752401510592545e-17,4.084706487655502e-20,1.6147899529901648
2016-10-18,0.0066365124149661,0.0,0.0,1.6255065265607465
2016-10-19,-0.0027110938924861383,0.0,0.0,1.6210996257443913
2016-10-20,-0.0005032297261989838,0.0,0.0,1.6202838402235866
2016-10-21,-0.001941484326589693,0.0,0.0,1.617138084543166
2016-10-24,0.0038654866427167978,2.544241298375733e-14,3.7767571547454304e-17,1.6233891102083962
2016-10-25,0.0028505642000289377,0.0,0.0,1.628016685088673
2016-10-26,7.893008539827662e-05,0.0,0.0,1.6281451845846568
2016-10-27,-0.004283066343069519,0.0,0.0,1.6211717307429316
2016-10-28,0.0003996732925684032,0.0,0.0,1.6218196697863765
2016-10-31,0.009039736007191657,1.830944405152916e-11,1.873420195795323e-14,1.6364804914525162
2016-11-01,-0.011227950690897215,0.0,0.0,1.618106169187872
2016-11-02,-0.007572307597282779,0.0,0.0,1.6058533715497205
2016-11-03,-0.0019211932574614288,0.0,0.0,1.6027682168798274
2016-11-04,-0.003206461591800047,0.0,0.0,1.5976290021518444
2016-11-07,0.0192002899507564,2.3344334084358744e-14,4.6115745421795976e-17,1.6283039422268974
2016-11-08,0.0058101705495572364,0.0,0.0,1.637764665837752
2016-11-09,-0.013603009371419561,0.0,0.0,1.6154861377401812
2016-11-10,-0.014936234038876783,0.0,0.0,1.5913568587003328
2016-11-11,-0.0036493704785744985,0.0,0.0,1.5855494079593149
2016-11-14,-0.0010362111990159795,9.493288480301938e-15,9.734096615539032e-18,1.5839064439061943
2016-11-15,0.00983862736791763,0.0,0.0,1.599489909193431
2016-11-16,-0.003762290157664605,0.0,0.0,1.5934721640507887
2016-11-17,0.0007271872580894012,0.0,0.0,1.5946309167046067
2016-11-18,-0.0038344682614900316,0.0,0.0,1.588516355065712
2016-11-21,0.007909805044044926,2.3370684596204126e-15,2.3923805748784206e-18,1.6010812097435587
2016-11-22,0.0021241203792805585,0.0,0.0,1.6044820989700581
2016-11-23,-0.004703317393854656,0.0,0.0,1.5969357104058437
2016-11-25,0.009726609252497465,0.0,0.0,1.6124684800623208
2016-11-28,0.0071353520674188875,3.9732663972322086e-16,4.0688608661629947e-19,1.6239740103651812
2016-11-29,0.0031932664387721577,0.0,0.0,1.6291597920699186
2016-11-30,-0.01990123248306319,0.0,0.0,1.5967375042958762
2016-12-01,-0.005911183353076055,0.0,0.0,1.5872988961412502
2016-12-02,0.005973769100658499,0.0,0.0,1.5967810532405282
2016-12-05,0.0010365124709073026,5.365690588910243e-18,5.503058046926327e-21,1.5984361367155204
2016-12-06,0.00068649900110751,0.0,0.0,1.5995334615267098
