decision_date,effective_date,solver_status,turnover,transaction_cost,cost_multiplier,prob_calm,prob_transition,prob_stress,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2016-07-01,2016-07-05,optimal,5.132514288962293e-17,7.591289973035694e-20,1.479058711898983,0.06293661866145882,0.9160093388791162,0.021054042459425003,4.5535640360511645e-18,4.5515579477876835e-18,0.010000044972108118,0.09079557403439564,0.016328833216366835,0.29287084698872695,0.41310530105868265,0.1549949425308662,0.021904457198853585
2016-07-08,2016-07-11,optimal,1.0338434332510168e-16,1.5166538107661188e-19,1.4670053143316488,0.0863829967898299,0.8932233777570427,0.0203936254531274,0.0,0.0,0.00997426696244913,0.09151331362477753,0.01640417282798884,0.2940456838526138,0.409271787825441,0.1566334079455979,0.02215736696113183
2016-07-15,2016-07-18,optimal,0.020268264759582617,2.08278228331279e-05,1.027607596416498,0.9447848134610545,0.055215180244895405,6.294050135321525e-09,3.2596631013106443e-18,3.262773304429343e-18,1.5885660677276866e-17,0.09387635234678024,0.016736351289807973,0.29418767153161646,0.42545626748531884,0.14748030505169132,0.022263052294785163
2016-07-22,2016-07-25,optimal,0.021238408609578756,2.1827453629807542e-05,1.0277348944102676,0.9445302142494768,0.0554697826805115,3.070011710671189e-09,0.0,0.0,0.0,0.09260465804948928,0.016924820422046363,0.29114730912481135,0.4499934916972268,0.12704913402924542,0.022280586677180855
2016-07-29,2016-08-01,optimal,7.979727989493313e-17,8.20099211439404e-20,1.0277282791082678,0.9445434423284254,0.055456557126613404,5.449612751430701e-10,0.0,0.0,0.0,0.09308829742439821,0.017317649052499356,0.28969162814086885,0.4487814907215044,0.1286220045487622,0.022498930111967092
2016-08-05,2016-08-08,optimal,5.204170427930421e-17,5.348300801710146e-20,1.0276951678996111,0.944609672204798,0.055390319791182,8.004020005148427e-09,0.0,0.0,0.0,0.09464024475859999,0.017751210132367325,0.29256810981071496,0.44203885766439516,0.13024740678091073,0.022754170853011853
2016-08-12,2016-08-15,optimal,2.6296786411611484e-08,2.6988896874555823e-11,1.0263192031190067,0.9473626188238902,0.052636356114206286,1.0250619034950655e-06,0.0,0.0,0.0,0.09467718194746934,0.017704864971445144,0.29410204694773495,0.4417988811477217,0.12893167696115218,0.022785348024476612
2016-08-19,2016-08-22,optimal,2.1171140507370012e-08,2.17211368124469e-11,1.0259785865048425,0.9480431113280535,0.05195660433420811,2.843377383651315e-07,0.0,0.0,0.0,0.09604797469840091,0.017787167187543692,0.29512128949737615,0.43919832037874246,0.12905001331257598,0.02279523492536074
2016-08-26,2016-08-29,optimal,2.2152226257375616e-14,2.2704097522016815e-17,1.0249126773187165,0.966572844651995,0.017028956058577304,0.016398199289427703,1.535060785363873e-15,0.0,7.890836107486302e-16,0.09701758337831135,0.01808852675603784,0.29659880374596426,0.4364100724372356,0.12887752986405804,0.023007483818390673
2016-09-02,2016-09-06,optimal,6.363409447010252e-16,6.52369471115616e-19,1.0251885825484977,0.9496317305556586,0.0503593737916875,8.895652653801114e-06,1.6126029075022067e-15,7.472510015156256e-18,1.741658925483536e-16,0.09680092665052768,0.018079994925460127,0.29734677064612475,0.43767348563939334,0.1272648391151064,0.022833983023386024
2016-09-09,2016-09-12,optimal,7.496967871307818e-17,1.4620934538314774e-19,1.9502463915140411,0.022766407449893705,0.053974402072130404,0.9232591904779759,1.596435835633751e-15,0.0,3.4760561017714175e-17,0.09652934315339426,0.01813311286727064,0.2940224285743375,0.43966058832407334,0.12887466573789297,0.022779861343029582
2016-09-16,2016-09-19,optimal,1.0484101631585562e-16,1.552420765736135e-19,1.4807379976736783,0.0601620512581586,0.9181999021363264,0.021638046605515,1.520729549250074e-15,0.0,0.0,0.09474115492004698,0.018341730180614465,0.29193929456255713,0.44393898263180465,0.12849365682829986,0.02254518087667546
