Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,SHY
2010-09-17,16339400,28705800,80925078,16835100,28835400,10596900,19927800,6038900,12389000,548800
2010-09-20,16600800,38781800,64263001,16996000,19105200,6337100,11506200,5467800,10259800,1132900
2010-09-21,33795200,33533000,103705472,23612800,37269200,13361500,14737200,7579700,26858400,1430900
2010-09-22,20396600,32318000,114854147,20258000,16811600,5931300,16023600,5875600,15219400,1158200
2010-09-23,14346000,24716800,127349658,17938700,19862600,8952000,13658800,8156800,20614400,779000
2010-09-24,17199200,49249000,94600257,17403000,16332600,4515900,9945200,5571100,12136200,1214500
2010-09-27,11346400,21783000,76726384,10058400,30638200,3614000,18805600,4840600,20005000,2443500
2010-09-28,17394800,33159200,101337767,19118100,29432000,5660100,10299000,5634600,14090600,764700
2010-09-29,19749800,42985800,82229692,12394700,12267000,5319700,9843800,7966300,9857600,798400
2010-09-30,20469400,46339600,132373000,23180400,26278600,8376000,22046400,8680300,17187000,1451800
2010-10-01,15538400,40019800,162650799,13619600,24335400,5417900,12853600,8791700,15241800,2388000
2010-10-04,26111200,29505400,105309096,14881500,16976000,6300800,9365000,6193600,13933600,1035100
2010-10-05,26245400,43231600,163731125,15091600,15425800,5418200,9052400,6786200,17481800,945100
2010-10-06,13636600,28210200,79712666,13307400,14340000,4637500,9211400,5800000,11143400,1772600
2010-10-07,18279800,27125600,88379153,9573800,9899400,4440400,7399000,6052000,9913000,1430200
2010-10-08,15930200,31677600,76830034,12642400,13341200,4196400,7682400,3678600,12956200,1604700
2010-10-11,11727200,16092000,50798200,7427400,12082000,3051600,7472200,2452400,8669200,1051900
2010-10-12,14601000,33330200,81038084,12817500,22014600,5882500,8046800,3194600,9951000,950600
2010-10-13,14554400,29362800,138693077,27458300,30959000,8258800,8168200,3323600,11864200,645700
2010-10-14,16533200,23005600,208325454,11352700,11029200,3697300,8283200,5111500,9326800,1130100
2010-10-15,24577400,30153600,163544136,17888500,42694000,6477400,11576200,5880600,15719000,883700
2010-10-18,13649200,21854400,96393824,8869900,21501200,4001300,8886600,7161000,13282400,765500
2010-10-19,30249800,38568400,180636325,21185500,50409400,5782300,16859400,8833000,21151200,740900
2010-10-20,20369600,25257200,118915708,17689100,47254600,4201000,7856000,5489400,14070200,1247500
2010-10-21,22244200,26826000,90587936,17234400,55292800,6328400,11776400,5983600,21472000,1035700
2010-10-22,16613600,13117600,50796353,11714700,11525200,4073800,8583800,4671900,8842600,522000
2010-10-25,22728000,22706400,56338931,12218800,19000000,5217900,10554800,6532600,12575800,1594800
2010-10-26,18659400,21375800,58349523,14680400,20635800,3878600,7779400,4005800,12431600,1325400
2010-10-27,24652800,25804800,77185177,15778300,23674600,8714300,12007600,5489900,12865800,751900
2010-10-28,20044200,23175600,71284256,13483400,17096200,6699200,10752600,5007000,15479000,782300
2010-10-29,13569800,18718400,49026545,9145200,16677200,6420600,8346800,6751200,13511000,875500
2010-11-01,16188600,24041200,80929756,9119800,16937800,7641400,14694400,6943700,13170400,709700
2010-11-02,23459000,20455000,67197828,8589600,14973800,3161300,8272200,5303500,14582600,610100
