decision_date,effective_date,candidate,solver_status,turnover,transaction_cost,effective_alpha,regime,prob_calm,prob_transition,prob_stress,gamma,base_alpha,turnover_cap,stress_multiplier,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2021-11-12,2021-11-15,g5_a100_cap25_s1,optimal,0.0035741780091071273,3.6082472161265956e-06,0.9961871840484986,calm,0.9809359205417439,0.019064079325255903,1.3300021133820161e-10,5.0,1.0,0.25,1.0,2.0002572268016774e-09,0.38273157823640935,0.599999998820605,2.2891051756094947e-09,0.01726840984771904,2.172027781639695e-09,2.2751229500162955e-09,2.159404500054286e-09,2.1993491872719296e-09
2021-11-19,2021-11-22,g5_a100_cap25_s1,optimal,0.0046554259272691455,4.721823020190404e-06,0.9942950771895788,calm,0.9714754021796648,0.0285245906062148,7.214120453052257e-09,5.0,1.0,0.25,1.0,3.3716807543925125e-10,0.3770101129784396,0.5999999997917754,4.028844294026669e-10,0.02298988491778979,3.778605962245044e-10,4.1008511999988565e-10,3.7729287437090964e-10,4.067040747523269e-10
2021-11-26,2021-11-29,g5_a100_cap25_s1,optimal,0.09132592386402731,0.00013442372038966936,0.8093235996613891,transition,0.0638225139704813,0.928531034623503,0.0076464514060157,5.0,1.0,0.25,1.0,0.0,0.29130261786992895,0.5951337023640206,0.0,0.11356367976605053,0.0,0.0,0.0,0.0
2021-12-03,2021-12-06,g5_a100_cap25_s1,optimal,6.188775212649477e-16,9.150845361289976e-19,0.806609391620698,transition,0.05053127327885382,0.9416979199765402,0.0077708067446061015,5.0,1.0,0.25,1.0,6.163816894166527e-17,0.29317533677647084,0.5922157529927248,3.018162416959194e-16,0.11460891023080404,0.0,0.0,0.0,0.0
2021-12-10,2021-12-13,g5_a100_cap25_s1,optimal,0.015234765135252352,1.547029301566497e-05,0.9938160175726585,calm,0.9690803050930442,0.0309195983603994,9.654655637664301e-08,5.0,1.0,0.25,1.0,4.432266480213919e-11,0.279151087900617,0.5882084493710229,4.778738332145593e-11,0.13264046229011806,7.879482562986324e-11,9.115928743066111e-11,8.65766191318227e-11,8.960146523272091e-11
2021-12-17,2021-12-20,g5_a100_cap25_s1,optimal,2.4340813363681044e-10,2.476261052959186e-13,0.9930639808695197,calm,0.9653603847943202,0.0346216238960257,1.7991309654099858e-05,5.0,1.0,0.25,1.0,1.784988196777226e-11,0.2722981648462854,0.5969401580719749,1.8378631367078548e-11,0.1307616768188918,2.554016274419573e-11,2.8204390372273964e-11,2.743941447468832e-11,1.4543547139279715e-10
2021-12-23,2021-12-27,g5_a100_cap25_s1,optimal,7.871421156074473e-11,7.98056018490014e-14,0.9944538948267302,calm,0.9722696091257688,0.0277303308777343,5.999649689139785e-08,5.0,1.0,0.25,1.0,6.432395589597776e-12,0.2738987696610601,0.5933792257185815,6.564038593234148e-12,0.13272200441467127,8.005030419923744e-12,8.533963640905927e-12,8.43379020954447e-12,1.6771800213269883e-10
2021-12-31,2022-01-03,g5_a100_cap25_s1,optimal,0.008134424379370838,8.253280020785389e-06,0.9941552442808013,calm,0.9707778443376585,0.029221434358496202,7.21303845362972e-07,5.0,1.0,0.25,1.0,0.0,0.2749064349054097,0.5844803017426387,0.0,0.14061326335195168,0.0,0.0,0.0,0.0
2022-01-07,2022-01-10,g5_a100_cap25_s1,optimal,0.20317480894457934,0.00020622113352363177,0.9940025273938866,calm,0.9700128814558856,0.0299870098834688,1.0866064564281817e-07,5.0,1.0,0.25,1.0,2.085407633130867e-18,0.2882023241423995,0.38133460400689106,2.0855864860819733e-18,0.3304630718507095,2.085618479471049e-18,2.085607549186663e-18,2.0856747394649637e-18,2.085684189619976e-18
2022-01-14,2022-01-18,g5_a100_cap25_s1,optimal,0.23545552257695845,0.00023894492621709507,0.9940719327317098,calm,0.9703609908062176,0.029638419350374,5.898434083448801e-07,5.0,1.0,0.25,1.0,0.0,0.2996781902706468,0.1384647971976358,0.0,0.5618570125317174,0.0,0.0,0.0,0.0
