,vs_EqualWeight_weekly,vs_Markowitz_CVXPY_weekly,vs_HMM_MPC_CVXPY_weekly
2013-10-17,0.054577217699889324,0.05952415029058056,0.05338562007763903
2013-10-18,0.04881803429432385,0.059979165774333376,0.053271684549638154
2013-10-21,0.04692683473010528,0.06078530523298742,0.05337062736842335
2013-10-22,0.04583769571731344,0.05615449527284211,0.0496477097154564
2013-10-23,0.0456185444074273,0.051317138032929144,0.04589947213249479
2013-10-24,0.04537440075146204,0.05502112251139191,0.04782078869254147
2013-10-25,0.043903364342231965,0.05515834215050175,0.048330271800596014
2013-10-28,0.04357157965888514,0.04924392177776604,0.04255367570161539
2013-10-29,0.044131950240783535,0.04808539383189303,0.040783279130087724
2013-10-30,0.04469238963212985,0.050188323857398354,0.042628527226426405
2013-10-31,0.043667658126277153,0.050187616149714565,0.04167410618158929
2013-11-01,0.04553418144925536,0.04915838193365185,0.041366102105792724
2013-11-04,0.043252033360739794,0.0493881505122189,0.04135215813242832
2013-11-05,0.04364048494221606,0.04808576348158744,0.0389966980548917
2013-11-06,0.03775439631751887,0.04168905020424263,0.03507970042912323
2013-11-07,0.03840398888324659,0.040863871337432744,0.036036289990406534
2013-11-08,0.04325244899438596,0.050485186557690076,0.04295617395799112
2013-11-11,0.04468874882383522,0.052601108123792706,0.04470176493965905
2013-11-12,0.04451210860635957,0.050445264617872354,0.041427875799485925
2013-11-13,0.045441137318454006,0.05279745543048442,0.04182907546203696
2013-11-14,0.047477107869113855,0.05293620342341776,0.042273529353515915
2013-11-15,0.04815063553153043,0.053969681912249046,0.04371925234333718
2013-11-18,0.04761432619451189,0.05308544361082945,0.04390987123989598
2013-11-19,0.05041014126827803,0.05555817257811668,0.0459063749040467
2013-11-20,0.05431613014423853,0.057702863421916994,0.04714408809384829
2013-11-21,0.05518758889040365,0.06331302367936842,0.05136947419342386
2013-11-22,0.059501884751464784,0.06516158692099583,0.052244598882002835
2013-11-25,0.06418876950481467,0.06764033274767267,0.05388004326390328
2013-11-26,0.06486377305115387,0.07084931694302221,0.05442389577758178
2013-11-27,0.06517501354020805,0.07265927111820192,0.055212127291429214
2013-11-29,0.06489933772767809,0.07255605919464969,0.0548495172067085
2013-12-02,0.06653465264046021,0.0744819376456114,0.05678845375858277
2013-12-03,0.06063682016487815,0.06559765764203895,0.050230585148801854
2013-12-04,0.05925193082461888,0.06563322073165256,0.051225859239675264
2013-12-05,0.06051864374280003,0.06832120496014205,0.0524773042471951
2013-12-06,0.061375632075012065,0.06713428832226298,0.05210205276776869
2013-12-09,0.06162320563903556,0.06813067708035603,0.05219626114558773
2013-12-10,0.06215568138019956,0.07257200280739573,0.054662767183461636
2013-12-11,0.05903567180034708,0.06562818109818669,0.04811068887192449
2013-12-12,0.05760970285725375,0.06982887909542312,0.0528899758023853
2013-12-13,0.05863026524988402,0.07184598105097506,0.05412946206550684
2013-12-16,0.05693970403967907,0.07443738655162702,0.05647820705724693
2013-12-17,0.05429457720387543,0.07383487265930744,0.05597623440323529
2013-12-18,0.06041658674635175,0.07666149949739487,0.05857620600635949
