,net_return,turnover,cost,wealth
2019-09-04,0.006740168589343121,0.0,0.0,2.473113874155242
2019-09-05,0.006907977473207927,0.0,0.0,2.4901980890865847
2019-09-06,-0.0005372581396658749,0.0,0.0,2.4888602098938426
2019-09-09,-0.0018088491528418515,5.548001894282289e-16,1.0875150069876684e-18,2.484358237211634
2019-09-10,-0.001108428140939921,0.0,0.0,2.481604504629333
2019-09-11,0.007040936268561948,0.0,0.0,2.499077323790204
2019-09-12,0.003327516150094967,0.0,0.0,2.507393043945452
2019-09-13,-0.0039068636254236955,0.0,0.0,2.497597001267421
2019-09-16,-0.004183610929153314,4.882548375748618e-15,7.293847779607094e-18,2.487148027156298
2019-09-17,0.005939636636032031,0.0,0.0,2.5019207826976304
2019-09-18,0.0014799570360035652,0.0,0.0,2.505623517963507
2019-09-19,0.0014757626461929796,0.0,0.0,2.50932122355674
2019-09-20,-0.003737882972389417,0.0,0.0,2.499941674482952
2019-09-23,0.0012763952898529052,1.6572780074352285e-15,2.475848051091954e-18,2.503132588261169
2019-09-24,-0.001737693811393215,0.0,0.0,2.498782910253451
2019-09-25,0.0043902576716075,0.0,0.0,2.509753211094873
2019-09-26,2.768824684662441e-05,0.0,0.0,2.5098227017613057
2019-09-27,-0.00482708589967451,0.0,0.0,2.497707571986951
2019-09-30,0.005224961004186124,0.004621509127644098,6.9041918256930705e-06,2.510757996650443
2019-10-01,-0.006774612937230584,0.0,0.0,2.4937485830440798
2019-10-02,-0.016093502565629025,0.0,0.0,2.453615433824826
2019-10-03,0.0053518054973906715,0.0,0.0,2.466746706392052
2019-10-04,0.01306326635469568,0.0,0.0,2.4989704756472197
2019-10-07,-0.00412005053136999,1.9494730514471663e-11,3.831048625480104e-14,2.4886745910111516
2019-10-08,-0.012293549988600438,0.0,0.0,2.458079945521196
2019-10-09,0.007932397838510852,0.0,0.0,2.4775784135679353
2019-10-10,0.003633763308351634,0.0,0.0,2.4865813471007225
2019-10-11,0.005521019900071256,0.0,0.0,2.5003098122012117
2019-10-14,-0.002777899369677206,8.522536761242108e-13,1.6368752604152062e-15,2.4933642031499
2019-10-15,0.005389628575065641,0.0,0.0,2.5068025101072426
2019-10-16,0.0008111025694292895,0.0,0.0,2.5088357840642423
2019-10-17,0.0022123788266912303,0.0,0.0,2.5143862792325513
2019-10-18,-0.001117324684010934,0.0,0.0,2.5115768933776264
2019-10-21,0.0048429638654232665,1.2588376638877869e-11,1.8884822597240644e-14,2.523740369517486
2019-10-22,-0.0022819181473191508,0.0,0.0,2.517981400569162
2019-10-23,0.0009585834154279826,0.0,0.0,2.520395095780104
2019-10-24,0.0028637612903732457,0.0,0.0,2.5276129056918455
2019-10-25,-0.0022165478690233664,0.0,0.0,2.522010330692018
2019-10-28,-0.0013889536209289455,1.8696952016001438e-12,2.8037235315830355e-15,2.518507375311183
2019-10-29,-0.0015664443934525485,0.0,0.0,2.514562273553258
2019-10-30,0.006672783899614343,0.0,0.0,2.5313414042068016
2019-10-31,-8.786018455886335e-06,0.0,0.0,2.5313191637945063
2019-11-01,0.003836402150437568,0.0,0.0,2.5410303220779316
2019-11-04,-0.004119861484789267,0.010071713638690279,1.0191607184789885e-05,2.530561629122321
2019-11-05,-0.004258133659513663,0.0,0.0,2.5197861594718813
2019-11-06,0.0022434818280812063,0.0,0.0,2.525439253931307
2019-11-07,-0.005584982270270267,0.0,0.0,2.511334720473456
2019-11-08,3.652062126091593e-05,0.0,0.0,2.511426435977642
2019-11-11,-0.003442703957772797,1.837527087053384e-09,2.751822275370318e-12,2.5027803382468465
2019-11-12,0.001854998480142589,0.0,0.0,2.5074229919704254
2019-11-13,0.004947816376058345,0.0,0.0,2.519829260511802
2019-11-14,0.0026679133899987217,0.0,0.0,2.526551946736432
2019-11-15,0.005123081009107633,0.0,0.0,2.539495677033281
2019-11-18,0.002174196334865819,5.920646833434555e-10,8.861429772958967e-13,2.5450170392266944
2019-11-19,-0.003576773871788008,0.0,0.0,2.5359140887775333
2019-11-20,0.00035512499693513,0.0,0.0,2.5368146552605384
2019-11-21,-0.003808180907878267,0.0,0.0,2.5271540061235496
2019-11-22,0.0026914844920247205,0.0,0.0,2.5339558019399893
2019-11-25,0.0051525325383192655,3.069466529269144e-09,4.543104551062535e-12,2.547012091660148
2019-11-26,0.0035551601968062396,0.0,0.0,2.5560671276692024
2019-11-27,0.004972165274477414,0.0,0.0,2.5687763158806325
2019-11-29,-0.0033349071294292987,0.0,0.0,2.560209685430893
2019-12-02,-0.008137831642322069,5.3038747969200595e-11,5.347961176906598e-14,2.539375130041814
2019-12-03,-0.00430073813411469,0.0,0.0,2.5284539425832206
2019-12-04,0.006612404736455968,0.0,0.0,2.5451731034090685
2019-12-05,0.0011085409993984996,0.0,0.0,2.547994532144764
2019-12-06,0.004231631185314111,0.0,0.0,2.5587767052669976
2019-12-09,-0.002525847695672545,1.8858648774955535e-11,1.9012999097004445e-14,2.5523136250222582
2019-12-10,-0.00027777216986624165,0.0,0.0,2.551604663328457
2019-12-11,0.002972852492723499,0.0,0.0,2.5591902076122777
2019-12-12,0.004403597161498185,0.0,0.0,2.570459850346253
2019-12-13,0.004197996642144819,0.0,0.0,2.5812506321667747
2019-12-16,0.008823569456883895,6.870042739908319e-12,7.193635865715692e-15,2.604026476405324
2019-12-17,0.002356180345673531,0.0,0.0,2.6101620324086436
2019-12-18,0.0018529349834484066,0.0,0.0,2.614998492950962
2019-12-19,0.002654118635228686,0.0,0.0,2.6219390091821984
2019-12-20,0.004804383034948012,0.0,0.0,2.6345358084765818
2019-12-23,-0.003613080556219117,2.531546045637246e-12,2.5516348519781057e-15,2.625017018372312
2019-12-24,0.0012842247376019245,0.0,0.0,2.628388130163932
2019-12-26,0.005947681938540672,0.0,0.0,2.6440209467731823
2019-12-27,0.0010411842497521917,0.0,0.0,2.6467738597389774
2019-12-30,-0.003738426763016167,9.264015945504767e-13,9.337527778813183e-16,2.6368790895060776
2019-12-31,0.002779996287945119,0.0,0.0,2.6442096035866647
2020-01-02,0.0026041005694541486,0.0,0.0,2.651095391321121
2020-01-03,-0.005015353267591283,0.0,0.0,2.6377992113875623
2020-01-06,0.002205988742698395,3.395575987280362e-13,3.422522474046308e-16,2.643618166753382
2020-01-07,-0.001520673119528193,0.0,0.0,2.6395980876689036
2020-01-08,0.0033806750268374763,0.0,0.0,2.648521711004774
2020-01-09,0.006314598074943056,0.0,0.0,2.6652460611025295
2020-01-10,-0.0013551346058312541,0.0,0.0,2.661634293932074
2020-01-13,0.005352260487237359,1.2309603401071598e-13,1.2407319957952873e-16,2.6758800539949625
2020-01-14,0.0007193548878963174,0.0,0.0,2.677804961391228
2020-01-15,0.005472924854641237,0.0,0.0,2.692460386720308
2020-01-16,0.008287869212975085,0.0,0.0,2.714775146266562
2020-01-17,0.005050268131968183,0.0,0.0,2.7284854886732113
2020-01-21,0.0023413255222377582,4.3501556567878803e-14,4.3846992899344704e-17,2.7348737613848972
2020-01-22,0.0018826751027465338,0.0,0.0,2.7400226401246113
2020-01-23,0.004208509884376044,0.0,0.0,2.7515540524889897
2020-01-24,-0.006056479790288227,0.0,0.0,2.7348893209782044
2020-01-27,-0.01084436268852973,1.565193932559347e-14,2.304452020507008e-17,2.70523118926853
2020-01-28,0.00867814423637503,0.0,0.0,2.7287075757217427
2020-01-29,0.0010129721931433355,0.0,0.0,2.7314716806191686
2020-01-30,0.004405661054455834,0.0,0.0,2.7435056190238214
2020-01-31,-0.008044754445028945,0.0,0.0,2.7214347900002176
2020-02-03,0.006705886055036414,5.895037752649095e-15,1.1714882720893345e-17,2.739684421608171
2020-02-04,0.007903485656145515,0.0,0.0,2.7613374781367166
2020-02-05,0.006516111743088748,0.0,0.0,2.7793306617046345
2020-02-06,0.0009888565993718679,0.0,0.0,2.7820790211712976
2020-02-07,-0.0049957083988591,0.0,0.0,2.7681805656389424
2020-02-10,0.007932405784440544,1.6233592348376443e-15,2.4287548306487554e-18,2.7901388971701926
2020-02-11,0.003977261629223072,0.0,0.0,2.8012360095461104
2020-02-12,0.005513595470560073,0.0,0.0,2.8166808917203134
2020-02-13,0.0029158180849828685,0.0,0.0,2.824893820804017
2020-02-14,0.0030079639366129562,0.0,0.0,2.8333909995417565
2020-02-18,0.002076036319122121,8.694511546250522e-16,9.0031013471988e-19,2.839273222163079
2020-02-19,-0.00025329421375275274,0.0,0.0,2.838554050684642
2020-02-20,-0.0008820654883270329,0.0,0.0,2.8360502601197823
2020-02-21,-0.009630968044118782,0.0,0.0,2.808736350693054
2020-02-24,-0.026187283271909445,2.5847969649589876e-16,3.8780444717655846e-19,2.7351831762413457
2020-02-25,-0.025810162374213075,0.0,0.0,2.6645876543393405
2020-02-26,-0.006083421809422895,0.0,0.0,2.6483778436898135
