decision_date,effective_date,selected_candidate,solver_status,turnover,transaction_cost,effective_alpha,regime,prob_calm,prob_transition,prob_stress,gamma,base_alpha,turnover_cap,stress_multiplier,score,selector_reason,selection_observations,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,selection_ann_return,selection_sharpe,selection_active_return,selection_information_ratio,selection_drawdown_improvement,candidate
2016-11-18,2016-11-21,g8_a025_cap25_s1,optimal,3.5165159886152305e-16,3.5997424498976293e-19,0.24650493910731022,calm,0.9707186713256084,0.011228044594656702,0.018053284079735003,8.0,0.25,0.25,1.0,0.6747823194926115,rolling_score,756,6.566023502610396e-17,4.04602522476734e-17,1.911401185518339e-17,3.683497408932151e-17,0.1681203449133318,0.04929191593886776,0.37035135272258213,0.09397179322742154,0.3182645931977967,0.08413320505736732,0.687198861649148,-0.0012647940809476707,-0.03621402393596739,0.030657703864971353,g8_a025_cap25_s1
2016-11-25,2016-11-28,g8_a025_cap25_s1,optimal,4.3192078904370833e-16,4.423125509647216e-19,0.24646828960602957,calm,0.9698934688838721,0.012094230332447702,0.018012300783680203,8.0,0.25,0.25,1.0,0.6912478181851535,rolling_score,756,0.0,0.0,0.0,0.0,0.16760734373497485,0.04917759678194012,0.37114523301129987,0.09214418268054457,0.3199256437912406,0.08710697081961638,0.7111090400055322,-0.001824614768045893,-0.05202661966008181,0.030657703864972352,g8_a025_cap25_s1
2016-12-02,2016-12-05,g8_a025_cap25_s1,optimal,6.314206130415025e-16,6.475856607860994e-19,0.24583982498564044,calm,0.974398922968552,2.889562202929671e-11,0.0256010770025524,8.0,0.25,0.25,1.0,0.6519060734732722,rolling_score,756,1.82539345819263e-16,4.5748173450526935e-17,1.1342819885076668e-16,5.191512646694247e-18,0.16558102969913505,0.04931232321918093,0.374068145695311,0.09214305811355863,0.31889544327281405,0.0859117788938808,0.6988632600470792,-0.003995626802096471,-0.10891147137339968,0.030657703864971908,g8_a025_cap25_s1
2016-12-09,2016-12-12,g8_a025_cap25_s1,optimal,3.7147706390001976e-08,3.81010300454016e-11,0.2474336943905715,calm,0.9486738895035857,0.05132610974434511,7.520691667390549e-10,8.0,0.25,0.25,1.0,0.6975284229561641,rolling_score,756,7.423389333659532e-09,2.6175395157377896e-08,1.9816297071588816e-09,1.5672925821721833e-09,0.16759026215641956,0.04929228273326122,0.37236016934679855,0.0900795474895252,0.3206777011262888,0.0932512537581367,0.7583254541767711,-0.0050796146930627535,-0.13809114353556823,0.03065770386497213,g8_a025_cap25_s1
2016-12-16,2016-12-19,g8_a025_cap25_s1,optimal,1.5109363972203982e-08,1.5484122341374268e-11,0.247519694388598,calm,0.9503938957012144,0.0496061007746724,3.524113199131976e-09,8.0,0.25,0.25,1.0,0.7902832626891032,rolling_score,756,4.731456870710661e-09,1.5656152077833292e-08,7.62354951966466e-10,6.514665931094035e-10,0.16726977577962207,0.04941760319229789,0.3775682643190776,0.0909703837518694,0.31477395115570256,0.10008916650744504,0.8132105752427272,-0.0021449352680364742,-0.058090243993241836,0.030657703864971353,g8_a025_cap25_s1
2016-12-23,2016-12-27,g8_a025_cap25_s1,optimal,1.6703624653692225e-17,1.7120921295180754e-20,0.24750175901777152,calm,0.9500352137888606,0.04996477135183711,1.4859302305535894e-08,8.0,0.25,0.25,1.0,0.7252177622822136,rolling_score,756,4.708870989656659e-09,1.5595229401631828e-08,7.681464421739468e-10,6.545519824209793e-10,0.16827387998449425,0.04933796378229077,0.3784442658791109,0.0906496866497032,0.31329418197760206,0.0911444238166208,0.7430571644866815,-0.0017487640651434645,-0.047351324134816276,0.030657703864970687,g8_a025_cap25_s1
2016-12-30,2017-01-03,g8_a025_cap25_s1,optimal,2.4508669148074715e-17,2.5348046284091743e-20,0.2465479752279646,calm,0.9319389742820057,0.06762570584123272,0.00043531987676160005,8.0,0.25,0.25,1.0,0.6981568300529462,rolling_score,756,4.690220720178857e-09,1.5499660681558947e-08,7.630487483867723e-10,6.513755972961032e-10,0.16741788833475785,0.04937199453481811,0.38095488623318113,0.09064248431300223,0.3116127249799349,0.08570850988338008,0.6978165719264158,-0.0003325546402095393,-0.008983220431991137,0.030657703864972463,g8_a025_cap25_s1
2017-01-06,2017-01-09,g8_a025_cap25_s1,optimal,2.5773952943971806e-17,2.6416100545532858e-20,0.24750853974443146,calm,0.950170821752068,0.0498291663086259,1.1939306147071577e-08,8.0,0.25,0.25,1.0,0.747400364111302,rolling_score,756,4.7017025738192456e-09,1.537065717971651e-08,7.603819756390697e-10,6.505821374081059e-10,0.1683211296316589,0.04897862473070195,0.3769539429405,0.09181400303401442,0.31393227817980085,0.0930808505125924,0.7586739131863892,-0.0012415113810960166,-0.03347295473160168,0.030657703864969577,g8_a025_cap25_s1
2017-01-13,2017-01-17,g8_a025_cap25_s1,optimal,6.2464754887998086e-18,6.401843129032507e-21,0.24751270467371592,calm,0.9502544696172688,0.0497453632080868,1.6717464450908286e-07,8.0,0.25,0.25,1.0,0.713485618378272,rolling_score,756,4.723864480169933e-09,1.506144504124449e-08,7.592427324243358e-10,6.512601100642855e-10,0.16916905073502306,0.04840392365229478,0.37439961427066987,0.09175459023791074,0.3162727999082892,0.09058963468968906,0.7397407618163359,-0.0024129126629797762,-0.06506993422962493,0.030657703864970798,g8_a025_cap25_s1
2017-01-20,2017-01-23,g8_a025_cap25_s1,optimal,2.7354275145303406e-17,2.8029667716729746e-20,0.24753093441467935,calm,0.950619007084011,0.04938085123135611,1.4168463295129773e-07,8.0,0.25,0.25,1.0,0.7287106880881615,rolling_score,756,4.739715044531343e-09,1.507928326527984e-08,7.46895152369272e-10,6.528960215600043e-10,0.16948231423187426,0.049352155194512214,0.3750407529784774,0.09027015690153863,0.3158545994748081,0.0904568744465879,0.7386271284410669,-0.0011394822917737506,-0.030590328372758973,0.030657703864971575,g8_a025_cap25_s1
